imdb_code,title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$,profit_loss_$,return_pct,domestic_%
tt5563334,The Good Liar,2019,Nov,8.0,10000000,17156058,33216217,23216217,232.16217000000003,51.649644509487636
tt4196450,The Birth of a Nation,2016,Oct,7.0,10000000,15861566,16891011,6891011,68.91011,93.90536777224287
tt9419056,The Unholy,2021,Apr,2.0,10000000,15530440,30829485,20829485,208.29485000000003,50.37528197438264
tt1092633,"The Goods: Live Hard, Sell Hard",2009,Aug,14.0,10000000,15122676,15297318,5297318,52.973180000000006,98.85834889488471
tt1655420,My Week with Marilyn,2011,Nov,23.0,10000000,14597405,34240572,24240572,242.40572000000003,42.631895869029286
tt1126590,Big Eyes,2014,Dec,25.0,10000000,14482031,27317872,17317872,173.17872000000003,53.013027515466796
tt5125894,Poms,2019,May,10.0,10000000,13631124,16463241,6463241,64.63241000000001,82.79733012473059
tt9173418,Brahms: The Boy II,2020,Feb,20.0,10000000,12611536,18976477,8976477,89.76477000000001,66.45878473649245
tt5592248,The Beguiled,2017,Jun,23.0,10000000,10576669,28039038,18039038,180.39038,37.721226384443
tt4807408,The Best of Enemies,2019,Apr,5.0,10000000,10205616,10268749,268749,2.6874900000000004,99.3851928798727
tt9214832,Emma.,2020,Feb,13.0,10000000,10055355,26447347,16447347,164.47347000000005,38.020278555728105
tt4595882,Can You Ever Forgive Me?,2018,Oct,19.0,10000000,8803865,12517379,2517379,25.17379,70.3331344365302
tt1470023,MacGruber,2010,May,21.0,10000000,8525600,8629895,-1370105,-13.70105,98.79146849411262
tt2170299,Bad Words,2014,Mar,14.0,10000000,7779614,7843145,-2156855,-21.56855,99.1899805498942
tt1791682,While We're Young,2015,Mar,27.0,10000000,7582065,17503828,7503828,75.03828,43.31661051513989
tt0785007,Over Her Dead Body,2008,Feb,1.0,10000000,7570127,21596074,11596074,115.96074000000002,35.05325551301593
tt1307068,Seeking a Friend for the End of the World,2012,Jun,22.0,10000000,7078738,11766959,1766959,17.669590000000003,60.157751888147146
tt2582500,Shut In,2016,Mar,17.0,10000000,6900335,11360665,1360665,13.606650000000002,60.738829989265604
tt1477837,Cedar Rapids,2011,Feb,11.0,10000000,6861102,7862131,-2137869,-21.37869,87.26771405869478
tt1748227,The Collection,2012,Nov,29.0,10000000,6810754,8890094,-1109906,-11.09906,76.6105960184448
tt7365604,Dog Days,2018,Aug,8.0,10000000,6809080,8196226,-1803774,-18.037740000000003,83.07579610420699
