imdb_code,title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$,profit_loss_$,return_pct,domestic_%
No_code,Bad Boys II,2003,Jul,18.0,130000000,138540870,273271982,143271982,110.20921692307691,50.697063411352566
No_code,Rio 2,2014,Mar,20.0,130000000,131538435,492846291,362846291,279.11253153846155,26.689545483461906
No_code,Salt,2010,Jul,23.0,130000000,118311368,290650494,160650494,123.57730307692309,40.70571715594607
No_code,Noah,2014,Mar,27.0,130000000,101200044,352831065,222831065,171.40851153846154,28.68229417384209
No_code,The Adventures of Tintin,2011,Oct,28.0,130000000,77591831,373993951,243993951,187.68765461538464,20.746814431766037
No_code,After Earth,2013,May,31.0,130000000,60522097,251499665,121499665,93.46128076923077,24.0644841415594
No_code,Australia,2008,Nov,26.0,130000000,49554002,215080810,85080810,65.44677692307692,23.039713305896512
No_code,R.I.P.D.,2013,Jul,19.0,130000000,33618855,79076678,-50923322,-39.171786153846156,42.51424800622
No_code,How to Train Your Dragon: The Hidden World,2019,Jan,3.0,129000000,160799505,522747474,393747474,305.2306000000001,30.760455668887648
No_code,"The Twilight Saga: Breaking Dawn, Part 1",2011,Nov,18.0,127500000,281287133,689420051,561920051,440.72160862745096,40.80054425339016
No_code,Dinosaur,2000,May,19.0,127500000,137748063,356148063,228648063,179.331814117647,38.67718999780156
No_code,Logan,2017,Feb,23.0,127000000,226277068,614202315,487202315,383.62387007874014,36.84080350625185
No_code,Night at the Museum: Secret of the Tomb,2014,Dec,18.0,127000000,113746621,353756621,226756621,178.54852047244094,32.15392002514633
No_code,Harry Potter and the Deathly Hallows: Part II,2011,Jul,13.0,125000000,381193157,1334392544,1209392544,967.5140352,28.566793086038107
No_code,The Hunger Games: Mockingjay - Part 1,2014,Nov,19.0,125000000,337135885,766575131,641575131,513.2601048,43.97949677290014
No_code,Harry Potter and the Sorcerer’s Stone,2001,Nov,15.0,125000000,317871467,965054122,840054122,672.0432976,32.9382010556295
No_code,Jumanji: The Next Level,2019,Dec,4.0,125000000,316831246,800128637,675128637,540.1029096,39.59753861428159
No_code,Harry Potter and the Deathly Hallows: Part I,2010,Nov,17.0,125000000,296131568,955371891,830371891,664.2975127999998,30.99647067175436
No_code,The Da Vinci Code,2006,May,19.0,125000000,217536138,767820459,642820459,514.2563672,28.331641264588914
No_code,X-Men 2,2003,Apr,30.0,125000000,214949694,406348630,281348630,225.078904,52.8978512859758
No_code,Fast Five,2011,Apr,21.0,125000000,210031325,630163454,505163454,404.1307632,33.329658149296606
No_code,Teenage Mutant Ninja Turtles,2014,Aug,8.0,125000000,191204754,485004754,360004754,288.0038032,39.42327418918454
No_code,Sherlock Holmes: A Game of Shadows,2011,Dec,16.0,125000000,186848418,535663443,410663443,328.5307544,34.88168185485079
No_code,The Day After Tomorrow,2004,May,27.0,125000000,186740799,555840117,430840117,344.67209360000015,33.59613552326594
No_code,The Boss Baby,2017,Mar,17.0,125000000,175003033,527965936,402965936,322.3727488,33.1466522870521
No_code,Clash of the Titans,2010,Apr,1.0,125000000,163214888,493214888,368214888,294.5719104,33.092044050381546
No_code,Trolls,2016,Oct,12.0,125000000,153707064,343242613,218242613,174.5940904,44.78088039727165
No_code,Godzilla,1998,May,19.0,125000000,136314294,376000000,251000000,200.8,36.25380159574468
No_code,Prometheus,2012,May,30.0,125000000,126477084,402448265,277448265,221.958612,31.42691744490438
No_code,The Bourne Legacy,2012,Aug,10.0,125000000,113203870,280355920,155355920,124.284736,40.378626568684545
No_code,Batman & Robin,1997,Jun,20.0,125000000,107325195,238317814,113317814,90.6542512,45.03448281881271
No_code,Skyscraper,2018,Jul,5.0,125000000,68420120,304868961,179868961,143.89516880000005,22.442468323300385
No_code,The Call of the Wild,2020,Jan,3.0,125000000,62342368,107360936,-17639064,-14.111251199999998,58.068018333968325
No_code,Total Recall,2012,Aug,3.0,125000000,58877969,211856088,86856088,69.48487039999999,27.79149259095164
No_code,Assassin’s Creed,2016,Dec,21.0,125000000,54647948,240759682,115759682,92.6077456,22.698130993544012
No_code,Monster Trucks,2016,Dec,29.0,125000000,33370166,61642798,-63357202,-50.685761600000006,54.13473606438176
No_code,The 13th Warrior,1999,Aug,27.0,125000000,32698899,61698899,-63301101,-50.6408808,52.99754052337303
No_code,How the Grinch Stole Christmas,2000,Nov,17.0,123000000,260348825,345445403,222445403,180.84992113821136,75.3661281172122
No_code,Mission: Impossible 2,2000,May,24.0,120000000,215409889,549588516,429588516,357.99043,39.194758028750364
No_code,The Perfect Storm,2000,Jun,30.0,120000000,182618434,328711434,208711434,173.926195,55.555850850019425
No_code,Jason Bourne,2016,Jul,20.0,120000000,162192920,416168316,296168316,246.80693,38.97291402644885
No_code,Fantastic Four: Rise of the Silver Surfer,2007,Jun,15.0,120000000,131921738,289480691,169480691,141.23390916666668,45.57186095704049
No_code,Life of Pi,2012,Nov,21.0,120000000,124987022,619310368,499310368,416.09197333333327,20.18164533618788
No_code,Ghost Rider,2007,Feb,16.0,120000000,115802596,229545589,109545589,91.28799083333334,50.448626133260184
No_code,Rampage,2018,Apr,9.0,120000000,101028233,427947217,307947217,256.62268083333333,23.60763874298077
No_code,Charlie's Angels: Full Throttle,2003,Jun,27.0,120000000,100814328,227163273,107163273,89.3027275,44.37967751943775
No_code,Elysium,2013,Aug,9.0,120000000,93050117,286192091,166192091,138.49340916666668,32.51316857669557
No_code,Oblivion,2013,Apr,19.0,120000000,89107235,287916633,167916633,139.93052749999998,30.94897091270165
No_code,Power Rangers,2017,Mar,24.0,120000000,85364450,142531552,22531552,18.776293333333328,59.891616138439296
No_code,Stuart Little 2,2002,Jul,19.0,120000000,64956806,166000000,46000000,38.333333333333336,39.13060602409639
No_code,RoboCop,2014,Feb,12.0,120000000,58607007,242981799,122981799,102.4848325,24.11991648806584
No_code,The Chronicles of Riddick,2004,Jun,11.0,120000000,57712751,107212751,-12787249,-10.656040833333334,53.83011858356288
No_code,The Fantastic Four,2015,Aug,5.0,120000000,56117548,167849187,47849187,39.8743225,33.43331534873625
No_code,Speed Racer,2008,May,9.0,120000000,43945766,93394462,-26605538,-22.171281666666665,47.053931313400575
No_code,The Island,2005,Jul,22.0,120000000,35818913,163018913,43018913,35.84909416666667,21.972243797258052
No_code,How Do You Know?,2010,Dec,17.0,120000000,30212620,49628177,-70371823,-58.64318583333333,60.877956488307035
No_code,Knight and Day,2010,Jun,23.0,117000000,76423035,258751370,141751370,121.15501709401708,29.535316083543826
No_code,Tang Ren Jie Tan An 3,2021,Jan,25.0,117000000,0,699084069,582084069,497.5077512820513,0.0
No_code,Venom,2018,Oct,2.0,116000000,213511408,853530899,737530899,635.802499137931,25.015076577795924
No_code,Star Wars Ep. I: The Phantom Menace,1999,May,19.0,115000000,474544677,1027044677,912044677,793.0823278260872,46.20487186459561
