title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
Rush Hour 3,2007,Aug,10,180000000,140125968,256585882
The Legend of Tarzan,2016,Jun,27,180000000,126643061,348902025
Hugo,2011,Nov,23,180000000,73864507,180047784
Valerian and the City of a Thousand Planets,2017,Jul,20,180000000,40479370,215098356
Jupiter Ascending,2015,Feb,6,179000000,47482519,181982519
Mission: Impossible—Fallout,2018,Jul,16,178000000,220159104,787176729
X-Men: Apocalypse,2016,May,18,178000000,155442489,542537546
The Meg,2018,Aug,9,178000000,145443742,527370715
Edge of Tomorrow,2014,May,28,178000000,100206256,367028980
Captain Marvel,2019,Mar,6,175000000,426829839,1129727388
The Jungle Book,2016,Apr,7,175000000,364001123,953554418
Inside Out,2015,Jun,12,175000000,356461711,853641066
Spider-Man: Homecoming,2017,Jul,5,175000000,334201140,880166350
Suicide Squad,2016,Aug,2,175000000,325100054,746719389
Up,2009,May,28,175000000,293004164,731463377
Coco,2017,Oct,27,175000000,210460015,797666425
Ralph Breaks The Internet,2018,Nov,21,175000000,201091711,529290830
Monsters vs. Aliens,2009,Mar,27,175000000,198351526,381687380
Cars 3,2017,Jun,16,175000000,152901115,383541369
G.I. Joe: The Rise of Cobra,2009,Aug,7,175000000,150201498,302469017
Wild Wild West,1999,Jun,30,175000000,113805681,221229335
The Mummy: Tomb of the Dragon Emperor,2008,Aug,1,175000000,102491776,405760225
Evan Almighty,2007,Jun,22,175000000,100289690,174131329
Waterworld,1995,Jul,28,175000000,88246220,264246220
Dolittle,2020,Jan,8,175000000,77047065,251409960
King Arthur: Legend of the Sword,2017,May,11,175000000,39175066,139630336
47 Ronin,2013,Dec,6,175000000,38362475,151716815
Jurassic World: Fallen Kingdom,2018,Jun,6,170000000,417719760,1308334005
Guardians of the Galaxy,2014,Jul,31,170000000,333714112,770882395
Iron Man 2,2010,May,7,170000000,312433331,621156389
Captain America: The Winter Soldier,2014,Mar,28,170000000,259746958,714401889
Dawn of the Planet of the Apes,2014,Jul,9,170000000,208545589,710644566
The Polar Express,2004,Nov,10,170000000,188578855,312719437
Snow White and the Huntsman,2012,May,30,170000000,155136755,401021746
Terminator 3: Rise of the Machines,2003,Jul,1,170000000,150358296,433058296
Van Helsing,2004,May,5,170000000,120150546,300150546
Dumbo,2019,Mar,27,170000000,114766307,353166307
Godzilla: King of the Monsters,2019,May,29,170000000,110500138,383299915
Tomorrowland,2015,May,20,170000000,93436322,206627518
Alita: Battle Angel,2019,Feb,1,170000000,85838210,401900040
Alice Through the Looking Glass,2016,May,20,170000000,77042381,276928112
Shrek Forever After,2010,May,21,165000000,238736787,756244673
Doctor Strange,2016,Oct,24,165000000,232641920,676354481
Big Hero 6,2014,Oct,25,165000000,222527828,649657407
How to Train Your Dragon,2010,Mar,26,165000000,217581232,494870992
Wreck-It Ralph,2012,Nov,1,165000000,189412677,496511521
Interstellar,2014,Nov,5,165000000,188017894,651994868
Independence Day: Resurgence,2016,Jun,22,165000000,103144286,384169424
Cowboys and Aliens,2011,Jul,29,163000000,100368560,176038324
Beauty and the Beast,2017,Mar,16,160000000,504014165,1255080655
Spider-Man: Far From Home,2019,Jun,27,160000000,390532085,1131113066
Aquaman,2018,Dec,6,160000000,335061807,1143758700
Shrek the Third,2007,May,17,160000000,322719944,807330936
Inception,2010,Jul,16,160000000,292576195,728582465
The Hunger Games: Mockingjay - Part 2,2015,Nov,18,160000000,281723902,648986787
Fast and Furious 6,2013,May,17,160000000,238679850,789300444
Godzilla,2014,May,14,160000000,200676069,529076069
X-Men: First Class,2011,Jun,3,160000000,146408305,355408305
The Curious Case of Benjamin Button,2008,Dec,25,160000000,127509326,329631958
The Sorcerer's Apprentice,2010,Jul,14,160000000,63150991,217986320
Poseidon,2006,May,12,160000000,60674817,181674817
Warcraft,2016,May,25,160000000,47365290,438899824
Deepwater Horizon,2016,Sep,29,156000000,61433527,122603824
The Chronicles of Narnia: The Voyage of the Daw…,2010,Dec,10,155000000,104386950,418186950
